,Year,Founded,Location,Status,Coordinates,Population,Area (km2),Density (pop/km2),Comments,References
2,1968,Baqa'a refugee camp,Jordan,UNRWA,32°04′25″N,119000,1.4,"85,000",,[9]
8,1955,Al-Wehdat refugee camp,Jordan,UNRWA,31°55′35″N,57000,0.48,"118,750",,[17]
9,1968,Marka,Jordan,UNRWA,32°00′32.86″N,53000,0.92,"57,609",,[18]
14,1952,Jabal el-Hussein camp,Jordan,UNRWA,31°57′52″N,32000,0.42,"76,190",,[25]
16,1968,Jerash camp,Jordan,UNRWA,32°16′20.21″N,29000,0.75,"38,667",,[27]
17,1951,Irbid camp,Jordan,UNRWA,32°33′0″N,28000,0.24,"116,667",,[28]
20,1968,Husn Camp,Jordan,UNRWA,32°26.7′N,25000,0.77,"32,468",,[32]
26,1949,Zarqa camp,Jordan,UNRWA,32°05′N,20000,0.18,"111,111",,[40]
28,1967,Souf Camp,Jordan,UNRWA,32°18′30″N,19000,0.5,"38,000",,[43]
33,1967,Al-Hassan camp,Jordan,Unofficial,,14068,n.a.,n.a.,,[48]
49,1956,Madaba camp,Jordan,Unofficial,,8597,n.a.,n.a.,,[48]
51,1968,Talbieh Camp,Jordan,UNRWA,31°42′19″N,8000,0.13,"61,538",,[68]
53,1969,Sakhna camp,Jordan,Unofficial,,7424,n.a.,n.a.,,[48]
